"id","temperature","servo_status","created_at"
"1","28.5","ON","2025-12-01 10:52:39"
"2","30.5","OFF","2025-12-01 11:35:40"
"3","34.2","OFF","2025-12-01 11:49:53"
"4","34.2","OFF","2025-12-01 11:49:59"
"5","34.2","OFF","2025-12-01 11:50:05"
"6","34.2","OFF","2025-12-01 11:50:11"
"7","34.2","OFF","2025-12-01 11:50:17"
"8","34.2","OFF","2025-12-01 11:50:23"
"9","34.2","OFF","2025-12-01 11:50:29"
"10","34.2","OFF","2025-12-01 11:50:36"
"11","34.2","OFF","2025-12-01 11:50:42"
"12","34.2","OFF","2025-12-01 11:50:48"
"13","34.2","OFF","2025-12-01 11:50:55"
"14","34.2","OFF","2025-12-01 11:51:01"
"15","34.2","OFF","2025-12-01 11:51:07"
"16","34.2","OFF","2025-12-01 11:51:13"
"17","34.2","OFF","2025-12-01 11:51:19"
"18","34.2","OFF","2025-12-01 11:51:26"
"19","34.2","OFF","2025-12-01 11:51:31"
"20","34.2","OFF","2025-12-01 11:51:37"
"21","34.3","OFF","2025-12-01 11:51:43"
"22","34.4","OFF","2025-12-01 11:51:49"
"23","34.5","OFF","2025-12-01 11:51:55"
"24","34.6","OFF","2025-12-01 11:52:00"
"25","34.6","OFF","2025-12-01 11:52:06"
"26","34.7","OFF","2025-12-01 11:52:12"
"27","34.6","OFF","2025-12-01 11:52:18"
"28","34.6","OFF","2025-12-01 11:52:24"
"29","34.5","OFF","2025-12-01 11:52:30"
"30","34.5","OFF","2025-12-01 11:52:35"
"31","34.4","OFF","2025-12-01 11:52:41"
"32","34.4","OFF","2025-12-01 11:52:47"
"33","34.3","OFF","2025-12-01 11:52:53"
"34","34.2","OFF","2025-12-01 11:52:58"
"35","34.2","OFF","2025-12-01 11:53:05"
"36","34.2","OFF","2025-12-01 11:53:11"
"37","34.2","OFF","2025-12-01 11:53:17"
"38","34.2","OFF","2025-12-01 11:53:23"
"39","34.2","OFF","2025-12-01 11:53:29"
"40","34.2","OFF","2025-12-01 11:53:34"
"41","34.2","OFF","2025-12-01 11:53:41"
"42","34.2","OFF","2025-12-01 11:53:46"
"43","34.2","OFF","2025-12-01 11:53:52"
"44","34.2","OFF","2025-12-01 11:53:58"
"45","34.2","OFF","2025-12-01 11:54:39"
"46","34.3","ON","2025-12-01 12:00:21"
"47","77.5","OFF","2025-12-06 22:05:03"
"48","88.5","OFF","2025-12-06 22:05:21"
"49","23.5","OFF","2025-12-06 22:07:17"
"50","33.5","ON","2025-12-06 22:09:33"
"51","45.5","ON","2025-12-06 22:09:47"
"52","28.9","OFF","2025-12-06 22:13:41"
"53","45.5","ON","2025-12-06 22:14:44"
"54","28.9","OFF","2025-12-06 22:14:46"
"55","30.2","OFF","2025-12-06 22:32:30"
"56","28.5","OFF","2025-12-06 22:58:55"
"57","28.5","OFF","2025-12-06 22:59:10"
"58","28.9","OFF","2025-12-06 22:59:24"
"59","28.9","OFF","2025-12-06 22:59:40"
"60","28.9","OFF","2025-12-06 22:59:58"
"61","28.9","OFF","2025-12-06 23:00:10"
"62","28.9","OFF","2025-12-06 23:00:27"
"63","28.9","OFF","2025-12-06 23:00:53"
"64","28.9","OFF","2025-12-06 23:01:02"
"65","28.9","OFF","2025-12-06 23:01:18"
"66","28.9","OFF","2025-12-06 23:01:47"
"67","28.9","OFF","2025-12-06 23:02:02"
"68","28.9","OFF","2025-12-06 23:02:12"
"69","28.9","OFF","2025-12-06 23:02:18"
"70","28.9","OFF","2025-12-06 23:02:34"
"71","28.9","OFF","2025-12-06 23:02:49"
"72","28.9","OFF","2025-12-06 23:03:09"
"73","28.9","OFF","2025-12-06 23:03:33"
"74","28.9","OFF","2025-12-06 23:03:50"
"75","28.9","OFF","2025-12-06 23:04:03"
"76","28.9","OFF","2025-12-06 23:04:11"
"77","28.9","OFF","2025-12-06 23:04:20"
"78","28.9","OFF","2025-12-06 23:04:50"
"79","28.9","OFF","2025-12-06 23:05:09"
"80","28.9","OFF","2025-12-06 23:05:18"
"81","28.9","OFF","2025-12-06 23:05:49"
"82","28.9","OFF","2025-12-06 23:06:03"
"83","28.9","OFF","2025-12-06 23:06:18"
"84","28.9","OFF","2025-12-06 23:06:33"
"85","28.9","OFF","2025-12-06 23:06:49"
"86","28.9","OFF","2025-12-06 23:07:18"
"87","28.9","OFF","2025-12-06 23:07:33"
"88","28.9","OFF","2025-12-06 23:07:48"
"89","28.9","OFF","2025-12-06 23:08:06"
"90","28.9","OFF","2025-12-06 23:08:18"
"91","28.9","OFF","2025-12-06 23:08:48"
"92","28.9","OFF","2025-12-06 23:09:04"
"93","28.9","OFF","2025-12-06 23:09:18"
"94","28.9","OFF","2025-12-06 23:09:33"
"95","28.9","OFF","2025-12-06 23:09:48"
"96","28.9","OFF","2025-12-06 23:10:03"
"97","28.9","OFF","2025-12-06 23:10:18"
"98","28.9","OFF","2025-12-06 23:10:37"
"99","28.9","OFF","2025-12-06 23:11:00"
"100","28.9","OFF","2025-12-06 23:11:15"
"101","28.9","OFF","2025-12-06 23:11:30"
"102","28.9","OFF","2025-12-06 23:11:47"
"103","28.9","OFF","2025-12-06 23:12:00"
"104","28.9","OFF","2025-12-06 23:12:19"
"105","28.9","OFF","2025-12-06 23:12:35"
"106","28.9","OFF","2025-12-06 23:12:48"
"107","28.9","OFF","2025-12-06 23:13:03"
"108","28.9","OFF","2025-12-06 23:13:11"
"109","28.9","OFF","2025-12-06 23:13:20"
"110","28.9","OFF","2025-12-06 23:13:35"
"111","28.9","OFF","2025-12-06 23:14:09"
"112","28.9","OFF","2025-12-06 23:14:18"
"113","28.9","OFF","2025-12-06 23:14:33"
"114","28.9","OFF","2025-12-06 23:14:49"
"115","28.9","OFF","2025-12-06 23:15:04"
"116","28.9","OFF","2025-12-06 23:15:12"
"117","28.9","OFF","2025-12-06 23:15:21"
"118","28.9","OFF","2025-12-06 23:15:36"
"119","28.9","OFF","2025-12-06 23:15:51"
"120","28.9","OFF","2025-12-06 23:16:07"
"121","28.5","OFF","2025-12-06 23:19:21"
"122","28.5","OFF","2025-12-06 23:19:36"
"123","28.5","OFF","2025-12-06 23:19:58"
"124","28.5","OFF","2025-12-06 23:20:13"
"125","28.5","OFF","2025-12-06 23:20:28"
"126","28.5","OFF","2025-12-06 23:20:43"
"127","28.5","OFF","2025-12-06 23:21:00"
"128","28.5","OFF","2025-12-06 23:21:43"
"129","28.5","OFF","2025-12-06 23:23:01"
"130","28.5","OFF","2025-12-06 23:23:16"
"131","28.5","OFF","2025-12-06 23:23:31"
"132","28.5","OFF","2025-12-06 23:23:45"
"133","28.5","OFF","2025-12-06 23:24:00"
"134","28.5","OFF","2025-12-06 23:24:16"
"135","28.5","OFF","2025-12-06 23:24:30"
"136","28.9","OFF","2025-12-06 23:25:15"
"137","28.9","OFF","2025-12-06 23:25:31"
"138","28.9","OFF","2025-12-06 23:25:46"
"139","28.9","OFF","2025-12-06 23:26:16"
"140","28.5","OFF","2025-12-06 23:26:31"
"141","28.7","OFF","2025-12-06 23:26:45"
"142","28.9","OFF","2025-12-06 23:27:01"
"143","28.5","OFF","2025-12-06 23:27:56"
"144","28.5","OFF","2025-12-06 23:28:11"
"145","28.5","OFF","2025-12-06 23:28:26"
"146","28.6","OFF","2025-12-06 23:28:41"
"147","28.6","OFF","2025-12-06 23:28:57"
"148","28.9","OFF","2025-12-06 23:29:12"
"149","28.9","OFF","2025-12-06 23:29:26"
"150","28.5","OFF","2025-12-06 23:30:13"
"151","28.5","OFF","2025-12-06 23:30:28"
"152","28.5","OFF","2025-12-06 23:30:43"
"153","28.9","OFF","2025-12-06 23:30:58"
"154","28.6","OFF","2025-12-06 23:31:13"
"155","28.9","OFF","2025-12-06 23:31:28"
"156","28.9","OFF","2025-12-06 23:31:43"
"157","28.9","OFF","2025-12-06 23:31:58"
"158","28.5","OFF","2025-12-06 23:32:43"
"159","28.5","OFF","2025-12-06 23:33:16"
"160","28.5","OFF","2025-12-06 23:33:28"
"161","28.5","OFF","2025-12-06 23:33:44"
"162","28.7","OFF","2025-12-06 23:33:58"
"163","28.5","OFF","2025-12-06 23:34:13"
"164","28.9","OFF","2025-12-06 23:34:43"
"165","28.9","OFF","2025-12-06 23:34:58"
"166","28.5","OFF","2025-12-06 23:35:13"
"167","28.8","OFF","2025-12-06 23:35:28"
"168","28.5","OFF","2025-12-06 23:35:44"
"169","28.5","OFF","2025-12-06 23:35:58"
"170","28.5","OFF","2025-12-06 23:36:13"
"171","28.5","OFF","2025-12-06 23:36:44"
"172","28.5","OFF","2025-12-06 23:36:58"
"173","28.5","OFF","2025-12-06 23:37:28"
"174","28.5","OFF","2025-12-06 23:38:00"
"175","28.5","OFF","2025-12-06 23:38:13"
"176","28.5","OFF","2025-12-06 23:38:43"
"177","28.5","OFF","2025-12-06 23:39:14"
"178","28.5","OFF","2025-12-06 23:39:28"
"179","28.5","OFF","2025-12-06 23:39:43"
"180","28.5","OFF","2025-12-06 23:39:58"
"181","28.5","OFF","2025-12-06 23:40:43"
"182","28.5","OFF","2025-12-06 23:40:58"
"183","28.5","OFF","2025-12-06 23:41:28"
"184","28.5","OFF","2025-12-06 23:41:44"
"185","28.5","OFF","2025-12-06 23:42:15"
"186","28.5","OFF","2025-12-06 23:43:43"
"187","28.5","OFF","2025-12-06 23:44:28"
"188","28.5","OFF","2025-12-06 23:44:58"
"189","28.5","OFF","2025-12-06 23:45:28"
"190","28.5","OFF","2025-12-06 23:46:09"
"191","28.5","OFF","2025-12-06 23:46:34"
"192","28.5","OFF","2025-12-06 23:46:51"
"193","28.5","OFF","2025-12-06 23:47:18"
"194","28.5","OFF","2025-12-06 23:47:33"
"195","28.5","OFF","2025-12-06 23:48:18"
"196","28.5","OFF","2025-12-06 23:49:04"
"197","28.5","OFF","2025-12-06 23:49:18"
"198","28.5","OFF","2025-12-06 23:49:34"
"199","28.5","OFF","2025-12-06 23:49:48"
"200","28.5","OFF","2025-12-06 23:50:03"
"201","28.5","OFF","2025-12-06 23:50:20"
"202","28.5","OFF","2025-12-06 23:50:35"
"203","28.5","OFF","2025-12-06 23:51:06"
"204","28.5","OFF","2025-12-06 23:52:13"
"205","28.5","OFF","2025-12-06 23:52:43"
"206","28.5","OFF","2025-12-06 23:52:57"
"207","28.5","OFF","2025-12-06 23:53:13"
"208","28.5","OFF","2025-12-06 23:53:28"
"209","28.8","OFF","2025-12-06 23:53:43"
"210","28.5","OFF","2025-12-06 23:53:57"
"211","28.5","OFF","2025-12-06 23:54:13"
"212","28.9","OFF","2025-12-06 23:54:28"
"213","28.9","OFF","2025-12-06 23:54:43"
"214","28.9","OFF","2025-12-06 23:54:58"
"215","28.9","OFF","2025-12-06 23:55:10"
"216","28.8","OFF","2025-12-06 23:55:19"
"217","28.9","OFF","2025-12-06 23:55:34"
"218","28.9","OFF","2025-12-06 23:55:49"
"219","28.9","OFF","2025-12-06 23:56:04"
"220","28.9","OFF","2025-12-06 23:56:12"
"221","28.9","OFF","2025-12-06 23:56:36"
"222","28.9","OFF","2025-12-06 23:56:51"
"223","28.9","OFF","2025-12-06 23:57:09"
"224","28.9","OFF","2025-12-06 23:57:19"
"225","28.9","OFF","2025-12-06 23:57:48"
"226","28.9","OFF","2025-12-06 23:58:05"
"227","28.9","OFF","2025-12-06 23:58:20"
"228","28.9","OFF","2025-12-06 23:58:35"
"229","28.9","OFF","2025-12-06 23:59:11"
"230","28.9","OFF","2025-12-06 23:59:34"
"231","28.9","OFF","2025-12-06 23:59:49"
"232","28.9","OFF","2025-12-07 00:00:04"
"233","28.9","OFF","2025-12-07 00:00:34"
"234","28.9","OFF","2025-12-07 00:01:04"
"235","28.9","OFF","2025-12-07 00:01:19"
"236","28.9","OFF","2025-12-07 00:01:34"
"237","28.9","OFF","2025-12-07 00:01:49"
"238","28.9","OFF","2025-12-07 00:02:04"
"239","28.9","OFF","2025-12-07 00:02:49"
"240","28.9","OFF","2025-12-07 00:03:05"
"241","28.9","OFF","2025-12-07 00:03:19"
